DateID,ProductID,StoreID,CustomerID,QuantityOrderded,OrderAmount,DiscountAmount,Shipping Cost,TotalAmount
20250109,915,7,745,1,349,28.357198495717277,23.38076472459438,297.26203677968834
20160828,887,1,774,4,513,68.83375533336783,75.44271705677689,368.7235276098553
20170820,14,28,755,11,900,49.59085721268235,85.99582100921147,764.4133217781061
20240201,449,15,54,7,488,66.96369501928145,57.76204228163711,363.2742626990814
20210829,430,18,730,15,148,10.37447454600257,10.51814096180253,127.1073844921949
20181008,398,12,797,18,1000,107.56780520705827,104.83082832784851,787.6013664650932
20190316,544,36,925,8,683,38.94230771274269,52.35638380165547,591.7013084856019
20190328,365,76,40,13,572,70.14201987829559,66.76120329238906,435.09677682931533
20240530,498,31,754,7,928,51.17627834891224,100.54856904998778,776.2751526011
20210216,1000,4,93,16,698,84.22722610254671,76.74345568957955,537.0293182078738
20200219,415,71,242,4,214,27.503056760765077,23.097471541316427,163.3994716979185
20171008,633,28,652,10,773,112.15384431809288,66.63534484028322,594.2108108416239
20211218,182,72,796,5,377,16.139400147970537,27.42282371375791,333.43777613827154
20191231,931,1,813,2,104,14.742580046337581,11.281971878670143,77.97544807499227
20210330,239,94,14,19,543,58.20791987721911,46.16365168358125,438.62842843919964
20201205,796,81,994,19,936,110.6569348055094,135.43770287799668,689.9053623164939
20170609,132,100,4,3,788,63.92918945622874,75.83876497187555,648.2320455718957
20240821,497,81,784,11,766,55.5983453150134,95.95822102467702,614.4434336603096
20210416,523,27,617,12,942,137.51898904027487,105.70933179515913,698.771679164566
20160503,602,67,406,6,783,89.27861604218846,51.60969308995869,642.1116908678529
20250720,761,34,468,12,199,8.271355630186012,18.329694504170686,172.39894986564332
20171208,405,70,476,16,862,100.33791662012797,60.677353427699124,700.9847299521729
20230202,991,91,615,2,606,34.90179110881224,46.99698635209695,524.1012225390908
20151229,286,17,738,14,301,15.3157991018872,26.80067619498594,258.88352470312685
20150219,948,87,951,4,582,56.71063253515262,42.13419791908092,483.15516954576646
20200913,73,30,187,10,248,33.122714194175146,36.971388071310585,177.90589773451427
20250516,4,81,923,1,636,59.78073188958251,73.21978275194571,502.99948535847176
20230805,185,76,73,6,250,25.642588459456203,20.204174625974552,204.15323691456925
20181007,857,68,788,1,507,25.19349965371367,30.492091519487758,451.31440882679857
20250212,539,44,311,3,438,23.869006698791917,23.279290940013524,390.85170236119455
20220422,179,43,950,6,577,57.12569165728129,85.3043436299269,434.56996471279183
20240124,835,9,51,13,746,53.34004112319164,89.27408534841042,603.385873528398
20190118,47,5,937,15,875,116.28298419794146,110.73849745317209,647.9785183488864
20161101,49,28,393,10,886,18.134698568972485,119.74186647564392,748.1234349553836
20180612,887,82,147,17,308,20.131287902002864,45.14238905441423,242.7263230435829
20190810,507,71,619,16,164,17.638381529918124,12.898887598551916,133.46273087152997
20231207,527,32,758,2,256,32.02639889056237,16.19986319062512,207.77373791881251
20250124,888,38,788,4,904,23.447023727731597,109.66465744944432,770.8883188228241
20241104,761,67,101,17,932,118.91924347054058,86.87198373347113,726.2087727959884
20150219,605,36,526,13,157,5.464903059354464,12.280901515833307,139.25419542481222
20191113,397,24,576,14,627,82.24770767223063,59.09516562431238,485.657126703457
20230607,752,7,255,18,341,45.23202418493143,45.29210520271877,250.4758706123498
20210615,182,89,21,16,109,9.87883013617298,7.184991810314375,91.93617805351265
